User Name,Blaaskatheterisatie_bij_een_vrouw._verblijfskatheter,Covid-19-vaccin_van_Pfizer-BioNtech_injecteren,Inbrengen_neusmaagsonde,Verwisselen_huidplaat_en_stomazakje_eendelig_systeem,Verwisselen_suprapubische_verblijfskatheter,Voorbereiden_medicijn_injecteren_oplossing,Zwachtelen_onderbeen_met_korte_rek_zwachtels,Blaaskatheterisatie_bij_een_man._verblijfskatheter,Blaasspoelen_met_spoelzakje_via_verblijfskatheter,Inbrengen_canule_perifeer_infuus,Inbrengen_Saf-T-Intima_subcutane_infuuscanule,Injecteren_intramusculair_(loodrechttechniek),Injecteren_subcutaan_(huidplooitechniek),Injecteren_subcutaan_(loodrechttechniek_-_Fraxiparine),Reanimatie_met_AED_(1_persoon),Toedienen_medicijnen_in_wangzak,Toedienen_medicijnen_onder_tong,Toedienen_medicijnen_via_subcutane_infuuscanule_bolusinjectie,Verwisselen_huidplaat_en_stomazakje_tweedelig_systeem,Voorbereiden_medicijn_injecteren_ampul,Voorbereiden_medicijn_injecteren_flacon,Bloedglucosewaarde_meten_via_vingerprik,Subcutaan_injecteren_met_insulinepen,Toedienen_voeding_via_neus-maagsonde_met_pomp,Covid-19-vaccin_van_Moderna_injecteren,Techniek_handdesinfectie_met_handalcohol,Techniek_handen_wassen_met_water_en_zeep,Binnencanule_van_tracheacanule_reinigen,Toedienen_medicijnen_via_PEG-sonde
13673,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,
13674,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
13675,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,
13676,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,
13677,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
13678,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,
13679,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,
13680,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,
13684,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,
13714,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,
13718,,,,,,,,,,,,,,,,,,,,52,,,,,,42,52,,
13723,,,,,,,27,,98,,,104,104,,,,,,,,,,,,,63,,,
13724,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,
13738,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,
13756,123,,,106,,,,,,,,108,,,,,,,96,,,,,,,,58,,
13780,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,
13791,,,,,,,,,,,,,,,,,,,,,,,,,,69,66,,
13801,,,,,,,86,,,,,,,,,,,,,108,,100,132,,,,50,,
13816,,,,,,,,,,,,,,,,,,,,,,,,,,57,46,,
13817,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
13818,,,,,,,,,,,,,,,,,,,,,,,,,,51,87,,
13821,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,
13823,,,,,,,,,,,,,,,,,,,,,,,,,,30,69,,
13824,,,,,,,,,,,,,,,,,,,,,,,,,,69,99,,
13825,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,
13829,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,
13839,,,,,,,,,,,,,,,,,,,,,,,,,,57,90,,
13851,,,,,,,,111,,,,,,,,,,,,,,,146,61,,,,,80
13858,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
13872,,72,,,,,,,,,,,,,,,,,,,,,124,,,,87,,
13876,116,,,80,,,,110,,,,,,,,,,,,,,,,,80,,,,
13879,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,
13962,,78,,,,,,,,,,,,,,,,,,57,,,,,,,,,
13988,,,,,,,,,,,,,,,87,,,,,,,86,,,,63,87,,
14053,134,,,,,,,121,192,,,177,180,162,72,129,,,,,,156,138,,,69,99,,
14055,,,63,,,,28,,130,,,,,,,100,,,,,,100,,,,,,,
14070,,,,,76,,38,,59,,,,,,50,88,117,,,,,96,124,50,,,,,
14073,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,
14087,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,
14092,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,
14110,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
14149,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
14161,,72,,,,,38,,,,,49,,,,,,,,,,88,56,,,,,44,
14164,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14175,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,
14183,136,,,90,,,44,,118,,,,,,58,,,,96,,,84,,,,69,93,,
14205,109,78,,,,,29,,,,,102,,,,,,,,,,,70,,,,,,
14209,,,,,,,,,,,,,,,,,,,,,,,,,,69,87,,
14223,,,,,,,37,,,,,,,,,,,,,,,,67,,,,,,
14228,,,58,,,,88,,122,,,98,114,,,132,120,,,,,100,136,49,,,,,
14230,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,
14231,111,,,78,,108,56,100,,,,,,,,,,,,,,84,,,,,,,
14232,,,,,,59,30,,90,,,,49,92,,96,78,,,56,45,47,71,39,,,,,
14236,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,
14278,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,
14279,,,,,,,,,,,,,,,,,,,,,,,,,37,,50,,
14280,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,
14281,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
14291,,,,,,,,,,,,,,,,,,,,,,,,,,69,99,,
14299,121,,,,,,,,,,,,,,,,,,,,,,126,,,,,,
14328,125,,,,,,,115,,,,,,,,,,,,,,90,,42,,48,,,84
14362,,72,,,,,,,,,,,,,,,,,,,,,126,,,,,,
14386,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,
14413,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
14567,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,
14607,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,
14612,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,
14645,104,,,,,,,105,,,,,,,,,,,,,,,,,,,,,
14646,116,,,,,,29,107,130,,,116,120,159,18,,,,38,106,,49,150,,,,,,
14647,134,,,,,,92,116,64,,,112,177,159,,,,,,,,156,146,,,,,,
14648,126,,,,,,,108,108,,,106,112,162,42,,,,,,,102,146,,,,,,
14649,115,,,,,,,106,57,,,,57,42,46,147,120,,,,,46,69,,,,,,
14650,119,,,,,,,113,51,,,,,,,,,,,,,,,,,,,,
14651,111,,,,,,,108,106,,,156,98,150,,,,,,,,,,,,,,,
14654,118,,,,,,,113,50,,,,,,,,,,,,,,,,,,,,
14696,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,
14697,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,
14758,,,,,,,,,,,,,,,,,,,,122,,,108,,,,,,
14759,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,
14761,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,
14764,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,
14837,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
14838,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,
14839,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,
14841,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
14842,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
14843,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,
14844,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,
14845,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,
14847,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,
14848,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,
14849,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,
14850,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,
14853,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,
14857,,,,84,,,,,,,,,,,,,,,90,,,,,,,,,,
14858,,,,70,,,,,,,,,,,,,,,72,,,,,,,,,,
14859,,,,78,,,,,,,,,,,,,,,74,,,,,,,,,,
14860,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,
14861,,,,74,,,,,,,,,,,,,,,88,,,,,,,,,,
14862,,,,98,,,,,,,,,,,,,,,78,,,,,,,,,,
14863,,,,76,,,,,,,,,,,,,,,82,,,,,,,,,,
14864,,,,74,,,,,,,,,,,,,,,86,,,,,,,,,,
14865,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,
14897,,,,,,,,118,,,,,,,46,,,,,,,,126,,,,,,
14928,,,,,79,,62,,,,,,,,,,,,,,,96,,,,,,,
14943,,,,,,,,,,,,,,,44,,,,,,,88,112,,,,,,
14944,,,,,,,,,,,,,,,,,,,,,,86,122,,,,,,
14945,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,
14951,,,,,,,,,,,,,44,,,,,,,,,78,58,,,,,,
14952,,,,,,,,,,,,,,,,,,,,,,92,59,,,,,,
14954,,,,,,,,,,,,,,,,,,,,,,135,56,,,,,,
14965,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,
14969,,,,,,,,,,,,,,,,,,,,,,88,128,,,,,,
14970,,,,,,,,,,,,,,,,,,,,,,41,114,,,,,,
14971,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,
14972,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,
14973,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,
14974,,,,,,,,,,,,,,,,,,,,,,153,118,,,,,,
14975,,,,,,,,,,,,,,,,,,,,,,50,65,,,,,,
14976,,,,,,,,,,,,,,,,,,,,,,90,112,,,,,,
14980,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
14981,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,
14985,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,
15007,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,
15008,,,,,,,,,,,,,,,,,,,,,,,,,,51,81,,
15009,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
15010,,,,,,,,,,,,,,,,,,,,,,,,,,69,33,,
15021,,,,,,,,,,,,,,,,,,,,,,,,,,63,99,,
15037,,,,,,,,,,,,,,,,,,,,,,90,130,,,,,,
15038,,,,,,,,,,,,,,,,,,,,,,86,67,,,,,,
15059,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,
15066,,82,,,,,,,,,,110,,,,,,,,,,92,69,,,,,,
15073,,62,,,,,,,,,,,,,,,,,,,,,63,,,,,,
15107,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
15116,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,74
15119,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,
15124,,,,,,,,,,,,,,,,,,,,,,,,,,69,87,,
15220,,,,,,,,,,,,,,,,,,,,,,,,,,63,81,,
15229,127,,,,80,,,115,108,,,,,,,,,,,,,,,,,,,,
15258,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,
,118.432432432432,63.910447761194,83.9285714285714,71.1372549019608,82.75,108.166666666667,43.3333333333333,107.857142857143,98.625,68.875,57.6666666666667,104.230769230769,107.5625,121.714285714286,48.7931034482759,113.677419354839,101.210526315789,129.333333333333,76.8695652173913,101.263157894737,70.5,88.5714285714286,104.30534351145,58,72.3125,52.0327868852459,71.5266666666667,44.75,73.6
